SMILES,LHV
CC1OC(OC(O1)C)C,24
CCC(=O)OCOCC,24
CC1OC(OC(O1)C)C,24
CC(C)C(C)C,45
CCCC(C)C,45
CCC(C)(C)C,45
CCC(C)CC,45
CCCCCC,45
CCCCCCO,37
CCCCC(C)O,36
CCCC(CC)O,36
CC(C)OC(C)C,37
CCCOCCC,37
CC(C)CC(C)O,36
CCOC(C)(C)C,37
CCC(C)(CC)O,36
CCC(C(C)C)O,36
CC(C)C(C)(C)O,36
CCC(C)(C)OC,37
CCOC(C)OCC,30
C(CCCO)CCO,30
CCOCCOCC,31
CCCCC(CO)O,30
CC(C)(C(C)(C)O)O,30
COCCOCCOC,26
CCOCOCOCC,26
CCC(OC)(OC)OC,26
C1=CC=C(C=C1)C=O,32
C1=CC=C(C(=O)C=C1)O,27
C1=COC(=C1)/C=C/C=O,28
C1=CC=C(C=C1)OC=O,27
C1=CC=C(C(=C1)C(=O)O)O,22
C1=CC(=CC=C1C(=O)O)O,22
C1=CC(=CC(=C1)O)C(=O)O,22
CC1=CC=CC=C1,41
C1C=CC=CC=C1,42
C1C2C=CC1C=C2,43
C1C2C3C2C4C1C34,44
C1C=CC2C1C=C2,43
C1CC12C=CC=C2,43
C=C1C=CCC=C1,42
CC=C1C=CC=C1,42
C1=CC=C(C=C1)CO,34
CC1=CC=C(C=C1)O,33
CC1=CC(=CC=C1)O,33
CC1=CC=CC=C1O,33
COC1=CC=CC=C1,34
CC1=CC(=C(C=C1)O)O,28
CC1=C(C(=CC=C1)O)O,28
COC1=CC=CC(=C1O)O,24
C1CC2CC1C=C2,43
C1C2CC3C1C3C2,43
C1CC2C=CC2C1,44
C1C2CC2C3C1C3,44
CC1(C=CC=C1)C,43
C1CC2C3C2C3C1,44
C1CC2C1CC=C2,43
C1C=CCC2C1C2,43
C1CC2=C(C1)CC2,44
CC=C(C=C)C=C,44
C1CC2C1C23CC3,45
C1CC2CCC1C2=O,35
C1CC2CC1CC2=O,34
C1CC2CC1C3C2O3,35
CC(C)(C#CC=C)O,36
C1CC2CCC(C1)O2,36
CCC#CC(=O)OCC,29
CCOC(=O)CC#CC,30
CCOC(=O)C(=C)C=C,29
CCOC(=O)CCC#C,30
C1CC2CCC1C(=O)O2,28
CC(=C)C(=O)OCC1CO1,25
CCCCCC#C,45
CC1=CCCCC1,43
CCCCOC(=O)C=C,30
CCOC(=O)CC(=O)OCC,21
C[C@@H]1CC[C@@H](C1)C,44
CC1CCCCC1,44
CCCCCC=C,45
CCCCCCC=O,37
CCC(C)C(=O)OCC,30
CCCCCC(=O)OC,30
