SMILES,BP
CCCCCC(=O)CCCCC,228
CCCCCCCCCCCCCC,253.7
CC1=CCC2C(C1)C2(C)C,168
CCCCCCCC=CCC,193.5
CCCCCCOC(=O)C,171.5
CC=C,-48
CCC(C)CC(C)C,110
C1CC(OC1)CO,178
CCCCCCCCCCCC,216.3
CC(C)C1=CC=CC=C1,152.4
CCCCCC(CCC)O,192.5
CC1CCCC(C1=O)(C)C,178.5
CCCCC(C)CC,118
CCCCC(CC)CO,184.3
CCCC(C)C(=O)C,137
CC(C)(C)OCC(CO)OC(C)(C)C,223
C(CO)O,197.3
