SMILES,KV
CCC(C)O,2.5109
CC(C)(C)O,3.0822
CCCCCO,3.0666
CCCC(C)O,2.7296
CCC(C)CO,3.3928
CCC(C)(C)O,2.7205
CC(C)C(C)O,2.6799
CC(C)CC(C)O,3.1204
CC1=CC=CC=C1O,4.4238
CC1=CC(=CC=C1)O,6.7506
CC1=CC=C(C=C1)O,6.8174
CCC=O,0.3606
CCCC=O,0.4738
C=CC=O,0.3622
CC=CC=O,0.4904
CC(=C)C=O,0.4678
COC=O,0.3134
CC(=O)OC,0.3511
CCOC=O,0.3716
CCOC(=O)C,0.4238
CCCOC=O,0.4763
CC(=O)OC=C,0.3902
CCCC(=O)OC,0.5276
CCCOC(=O)C,0.5483
CC(C)OC(=O)C,0.5323
CCCCOC(=O)C,0.6908
CCCCCOC(=O)C,0.8073
CCOCC,0.2867
CC(C)(C)OC,0.4065
C1CCOC1,0.4752
CC(=O)C,0.3546
CCC(=O)C,0.4403
CCCC(=O)C,0.5184
CCCCC(=O)C,0.6228
CC(C)CC(=O)C,0.6432
C1=COC(=C1)C=O,1.1596
