smiles,cn
CCC=CCC=CCC=CCCCCCCCC(=O)OC,37
CCCCCCCCCCCCCCCC(=O)OCC,80
COCCO,15.5
CCCCCCCCCCCCCCCCCC(=O)OC,86
CCCCOC(=O)CCC,18
CCCCCCCCCCCC(=O)OC,66.5
CC(OC)(OC)C,31.3
CCCCCCCCCCCCCCCC(=O)OC,85.9
CC=CC=CC(=O)OC,6
CCCCCCCCCC(=O)OCC,51
CCCCCCC=CCCCCCCCC(=O)OC,56.6
CCCCC(=O)OCCCC,23.5
CC(OCC)OCC,54.1
CCCCCCCCCCCC(=O)OC=C,77
CCCCOCC(C)O,36.1
COCCOCCOC,109
CCCCCCCCCCCCCCCC(=O)OC(C)CC,84.8
CCCCCCCCCC(=O)OCCCC,55
C=COCC1CCC(CC1)COC=C,61.1
CCCCCCCCC=CCCCCCCCC(=O)OC,56
C=COCCCCCCCCCCCC,101.7
CC(COC)O,16.3
CCCCCCCCCC(=O)OCCC,53
CCCOC(=O)CCCCCCCC=CCC=CCC=CCC,27
CCCCCCC(=O)OC,34.2
CCCCOC(=O)CCCCCCCC=CCC=CCC=CCC,29
CCCCCCCCCCCCCCCCCC(=O)OCC,76.8
CCCCCCCCC=CCCCCCCCC(=O)OCC,61
CCC=CCC=CCC=CCCCCCCCC(=O)O,20
CCCCCC=CCC=CCCCCCCCC(=O)OCCCC,54
CCCCC(=O)OCC,18.6
CCCCCCCCCCCCCCCC(=O)OCCC,85
CCCCC(=O)OCCC,20.7
CCOCCOCCOCC,123
CC(=O)OCC1CCCO1,18.2
CCOCCCCOCC,97
CCCCCCCCCCCCCC(=O)OC,75.8
CCOC(=O)CC(=O)C,13.7
CCCCCCCCCCCCCCCC(=O)OCC(C)C,84
CCCCCCCCCCCCCCCC(=O)OC(C)C,83
CCCCCC(=O)OCC,27.8
CCCCOCOCCCC,74
CCCCCCCCC=CCCCCCCCC(=O)O,46
CCCCCC=CCC=CCCCCCCCC(=O)OCCC,42.5
CCOCCOC(C)=O,40
CCCCCC=CCC=CCCCCCCCC(=O)OC,43.9
CC1CCC(C(C1)OC(=O)C)C(C)C,19.5
CCCCOCCCC,115.4
CC(CO)OCC(C)OCC(C)OC,81.3
CCOCOCC,57.3
CC(C)OCCO,27.8
CCC(O)OCCCOC,43.9
C=COCCO,14
CC(COC)OC(=O)C,24
CCCCCCCC1CCC(=O)O1,52.6
CCCCCCC1CCCC(=O)O1,48.6
CCCCC1CCCCC(=O)O1,40.5
CCCCC1C(CC(=O)O1)C,27.2
CCCCOC(=O)CCC(=O)C,14.4
CCCCCC(=O)CC,36
C1CCCC(=O)CC1,22.5
CCCCCCCC(=O)C,46.1
CC(C)CC(=O)C,12.6
CCC(=O)CC,14.6
CC1CC(=O)CC(C1)(C)C,11.9
CCCCCCC(=O)C,36.6
CC1CCC(C(=O)C1)C(C)C,20.6
CC(=O)CC(C)(C)O,11.5
CC(C)C(=O)C(C)C,14.4
C1CCC(=O)CC1,10.4
CCCCCC(C)=O,30
CCCCCCCCCCCCC1CCCC(C1)C,70
CCCCCCCCCCCCCCCC(CCCC)C1CCCCC1,66
CC1CCCCC1,24.4
CCCC1CCCCC1,52
C1CCC(CC1)C1CCCCC1,51
C1CCCCC1,20
CCCCC1CCCC2C1CCCC2,31
CC1CC(C)CC(C)C1,30.5
CCC(C)C1CCCC2C1CCCC2,34
CCCCCCCCCCCCCC(C)(C)C1CCCCC1,45
CCCCCCCCC(C)(C)C1CCCC2CCCCC12,37
CC1CCC(C(C1)C)C,24.4
CCCC1=CC2=C(CCCC2)C=C1,8
CCCCCCCCCCCCCCC1CCCCC1,57
CCCCCCC1CCCCC1,36
CC(C)(C)C1CCCC2CCCCC12,24
CCCC1CCCC2C1CCCC2,35
CCCCC1CCCCC1,47.8
CCCCC=CC,44
CCC1CCCCC1,35.8
C=CC1CCCCC1,38
CCCCCCCCC=C,49.1
CCCCC=C,25.8
